signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
6,XAUUSD,PERIOD_M15,26090401,2026.01.16 10:45:00,2026.01.16 10:45:00,SELL,8,2026.01.16 18:45:00,2026.01.16 18:45:00,0,OK,4602.17,4602.33,4602.25,16.0,4596.17,4596.34,4596.26,17.0,599.5,583.0,13.0262,12.6679,4606.18011446,4606.13323933,4606.08109929,4606.09380412
8,XAUUSD,PERIOD_M15,26090401,2026.01.16 15:15:00,2026.01.16 15:15:00,SELL,4,2026.01.16 19:15:00,2026.01.16 19:15:00,0,OK,4596.25,4596.41,4596.33,16.0,4590.82,4590.90,4590.86,8.0,547.0,535.0,11.9008,11.6399,4606.13917484,4606.10175191,4605.89499769,4606.00372452
7,XAUUSD,PERIOD_M15,26090401,2026.01.16 14:00:00,2026.01.16 14:00:00,BUY,8,2026.01.16 22:00:00,2026.01.16 22:00:00,0,OK,4612.52,4612.67,4612.60,15.0,4590.55,4590.75,4590.65,20.0,-2194.5,-2212.0,-47.5763,-47.9549,4606.03916742,4606.05690440,4606.19918798,4606.12121381
6,XAUUSD,PERIOD_M15,26090401,2026.01.16 10:45:00,2026.01.16 10:45:00,SELL,12,2026.01.16 22:45:00,2026.01.16 22:45:00,0,OK,4602.17,4602.33,4602.25,16.0,4584.28,4584.48,4584.38,20.0,1787.0,1769.0,38.8288,38.4384,4606.18011446,4606.13323933,4606.08109929,4606.09380412
8,XAUUSD,PERIOD_M15,26090401,2026.01.16 15:15:00,2026.01.16 15:15:00,SELL,8,2026.01.16 23:15:00,2026.01.16 23:15:00,0,OK,4596.25,4596.41,4596.33,16.0,4586.67,4586.88,4586.77,21.0,955.5,937.0,20.7883,20.3862,4606.13917484,4606.10175191,4605.89499769,4606.00372452
8,XAUUSD,PERIOD_M15,26090401,2026.01.16 15:15:00,2026.01.16 15:15:00,SELL,12,2026.01.17 03:15:00,,,NO_TICK_NEAR_TARGET,4596.25,4596.41,4596.33,16.0,,,,,,,,,4606.13917484,4606.10175191,4605.89499769,4606.00372452
8,XAUUSD,PERIOD_M15,26090401,2026.01.16 15:15:00,2026.01.16 15:15:00,SELL,24,2026.01.17 15:15:00,,,NO_TICK_NEAR_TARGET,4596.25,4596.41,4596.33,16.0,,,,,,,,,4606.13917484,4606.10175191,4605.89499769,4606.00372452
7,XAUUSD,PERIOD_M15,26090401,2026.01.16 14:00:00,2026.01.16 14:00:00,BUY,12,2026.01.17 02:00:00,,,NO_TICK_NEAR_TARGET,4612.52,4612.67,4612.60,15.0,,,,,,,,,4606.03916742,4606.05690440,4606.19918798,4606.12121381
7,XAUUSD,PERIOD_M15,26090401,2026.01.16 14:00:00,2026.01.16 14:00:00,BUY,24,2026.01.17 14:00:00,,,NO_TICK_NEAR_TARGET,4612.52,4612.67,4612.60,15.0,,,,,,,,,4606.03916742,4606.05690440,4606.19918798,4606.12121381
6,XAUUSD,PERIOD_M15,26090401,2026.01.16 10:45:00,2026.01.16 10:45:00,SELL,24,2026.01.17 10:45:00,,,NO_TICK_NEAR_TARGET,4602.17,4602.33,4602.25,16.0,,,,,,,,,4606.18011446,4606.13323933,4606.08109929,4606.09380412
9,XAUUSD,PERIOD_M15,26090401,2026.01.19 02:15:00,2026.01.19 02:15:00,BUY,1,2026.01.19 03:15:00,2026.01.19 03:15:00,0,OK,4665.60,4665.83,4665.72,23.0,4663.31,4663.51,4663.41,20.0,-230.5,-252.0,-4.9403,-5.4010,4603.15752435,4603.80726477,4604.69931387,4604.42211786
9,XAUUSD,PERIOD_M15,26090401,2026.01.19 02:15:00,2026.01.19 02:15:00,BUY,2,2026.01.19 04:15:00,2026.01.19 04:15:00,0,OK,4665.60,4665.83,4665.72,23.0,4659.15,4659.35,4659.25,20.0,-646.5,-668.0,-13.8564,-14.3169,4603.15752435,4603.80726477,4604.69931387,4604.42211786
9,XAUUSD,PERIOD_M15,26090401,2026.01.19 02:15:00,2026.01.19 02:15:00,BUY,4,2026.01.19 06:15:00,2026.01.19 06:15:00,0,OK,4665.60,4665.83,4665.72,23.0,4662.17,4662.39,4662.28,22.0,-343.5,-366.0,-7.3622,-7.8443,4603.15752435,4603.80726477,4604.69931387,4604.42211786
9,XAUUSD,PERIOD_M15,26090401,2026.01.19 02:15:00,2026.01.19 02:15:00,BUY,8,2026.01.19 10:15:00,2026.01.19 10:15:00,0,OK,4665.60,4665.83,4665.72,23.0,4669.42,4669.59,4669.51,17.0,379.0,359.0,8.1231,7.6942,4603.15752435,4603.80726477,4604.69931387,4604.42211786
9,XAUUSD,PERIOD_M15,26090401,2026.01.19 02:15:00,2026.01.19 02:15:00,BUY,12,2026.01.19 14:15:00,2026.01.19 14:15:00,0,OK,4665.60,4665.83,4665.72,23.0,4665.86,4666.02,4665.94,16.0,22.5,3.0,0.4822,0.0643,4603.15752435,4603.80726477,4604.69931387,4604.42211786
9,XAUUSD,PERIOD_M15,26090401,2026.01.19 02:15:00,2026.01.19 02:15:00,BUY,24,2026.01.20 02:15:00,2026.01.20 02:15:00,0,OK,4665.60,4665.83,4665.72,23.0,4667.91,4668.13,4668.02,22.0,230.5,208.0,4.9403,4.4579,4603.15752435,4603.80726477,4604.69931387,4604.42211786
10,XAUUSD,PERIOD_M15,26090401,2026.01.30 08:45:00,2026.01.30 08:45:00,SELL,1,2026.01.30 09:45:00,2026.01.30 09:45:00,0,OK,5158.18,5158.37,5158.27,19.0,5147.06,5147.22,5147.14,16.0,1113.5,1096.0,21.5867,21.2478,5326.60315343,5324.10473530,5322.44455705,5322.45374291
10,XAUUSD,PERIOD_M15,26090401,2026.01.30 08:45:00,2026.01.30 08:45:00,SELL,2,2026.01.30 10:45:00,2026.01.30 10:45:00,0,OK,5158.18,5158.37,5158.27,19.0,5096.43,5096.59,5096.51,16.0,6176.5,6159.0,119.7396,119.4026,5326.60315343,5324.10473530,5322.44455705,5322.45374291
10,XAUUSD,PERIOD_M15,26090401,2026.01.30 08:45:00,2026.01.30 08:45:00,SELL,4,2026.01.30 12:45:00,2026.01.30 12:45:07,7,OK,5158.18,5158.37,5158.27,19.0,5078.05,5078.21,5078.13,16.0,8014.5,7997.0,155.3717,155.0353,5326.60315343,5324.10473530,5322.44455705,5322.45374291
10,XAUUSD,PERIOD_M15,26090401,2026.01.30 08:45:00,2026.01.30 08:45:00,SELL,8,2026.01.30 16:45:00,2026.01.30 16:45:00,0,OK,5158.18,5158.37,5158.27,19.0,5081.12,5081.32,5081.22,20.0,7705.5,7686.0,149.3813,149.0060,5326.60315343,5324.10473530,5322.44455705,5322.45374291
10,XAUUSD,PERIOD_M15,26090401,2026.01.30 08:45:00,2026.01.30 08:45:00,SELL,12,2026.01.30 20:45:00,2026.01.30 20:45:00,0,OK,5158.18,5158.37,5158.27,19.0,4779.88,4780.08,4779.98,20.0,37829.5,37810.0,733.3750,733.0105,5326.60315343,5324.10473530,5322.44455705,5322.45374291
10,XAUUSD,PERIOD_M15,26090401,2026.01.30 08:45:00,2026.01.30 08:45:00,SELL,24,2026.01.31 08:45:00,,,NO_TICK_NEAR_TARGET,5158.18,5158.37,5158.27,19.0,,,,,,,,,5326.60315343,5324.10473530,5322.44455705,5322.45374291
11,XAUUSD,PERIOD_M15,26090401,2026.02.03 22:45:00,2026.02.03 22:45:00,BUY,1,2026.02.03 23:45:00,2026.02.03 23:45:00,0,OK,4951.73,4951.93,4951.83,20.0,4940.10,4940.54,4940.32,44.0,-1151.0,-1183.0,-23.2439,-23.8897,4886.40568228,4886.79512943,4888.01862840,4887.44124755
11,XAUUSD,PERIOD_M15,26090401,2026.02.03 22:45:00,2026.02.03 22:45:00,BUY,2,2026.02.04 00:45:00,,,NO_TICK_NEAR_TARGET,4951.73,4951.93,4951.83,20.0,,,,,,,,,4886.40568228,4886.79512943,4888.01862840,4887.44124755
11,XAUUSD,PERIOD_M15,26090401,2026.02.03 22:45:00,2026.02.03 22:45:00,BUY,4,2026.02.04 02:45:00,2026.02.04 02:45:00,0,OK,4951.73,4951.93,4951.83,20.0,4986.94,4987.16,4987.05,22.0,3522.0,3501.0,71.1252,70.6997,4886.40568228,4886.79512943,4888.01862840,4887.44124755
11,XAUUSD,PERIOD_M15,26090401,2026.02.03 22:45:00,2026.02.03 22:45:00,BUY,8,2026.02.04 06:45:00,2026.02.04 06:45:00,0,OK,4951.73,4951.93,4951.83,20.0,5072.06,5072.20,5072.13,14.0,12030.0,12013.0,242.9405,242.5923,4886.40568228,4886.79512943,4888.01862840,4887.44124755
11,XAUUSD,PERIOD_M15,26090401,2026.02.03 22:45:00,2026.02.03 22:45:00,BUY,12,2026.02.04 10:45:00,2026.02.04 10:45:00,0,OK,4951.73,4951.93,4951.83,20.0,5079.34,5079.41,5079.38,7.0,12754.5,12741.0,257.5714,257.2936,4886.40568228,4886.79512943,4888.01862840,4887.44124755
11,XAUUSD,PERIOD_M15,26090401,2026.02.03 22:45:00,2026.02.03 22:45:00,BUY,24,2026.02.04 22:45:00,2026.02.04 22:45:00,0,OK,4951.73,4951.93,4951.83,20.0,4942.55,4942.75,4942.65,20.0,-918.0,-938.0,-18.5386,-18.9421,4886.40568228,4886.79512943,4888.01862840,4887.44124755
12,XAUUSD,PERIOD_M15,26090401,2026.02.05 07:30:00,2026.02.05 07:30:00,SELL,1,2026.02.05 08:30:00,2026.02.05 08:30:00,0,OK,4868.77,4868.97,4868.87,20.0,4929.54,4929.74,4929.64,20.0,-6077.0,-6097.0,-124.8134,-125.2267,4951.17076751,4950.79455418,4949.13618065,4949.97838946
12,XAUUSD,PERIOD_M15,26090401,2026.02.05 07:30:00,2026.02.05 07:30:00,SELL,2,2026.02.05 09:30:00,2026.02.05 09:30:00,0,OK,4868.77,4868.97,4868.87,20.0,4932.62,4932.74,4932.68,12.0,-6381.0,-6397.0,-131.0571,-131.3884,4951.17076751,4950.79455418,4949.13618065,4949.97838946
12,XAUUSD,PERIOD_M15,26090401,2026.02.05 07:30:00,2026.02.05 07:30:00,SELL,4,2026.02.05 11:30:00,2026.02.05 11:30:00,0,OK,4868.77,4868.97,4868.87,20.0,4874.19,4874.27,4874.23,8.0,-536.0,-550.0,-11.0087,-11.2965,4951.17076751,4950.79455418,4949.13618065,4949.97838946
12,XAUUSD,PERIOD_M15,26090401,2026.02.05 07:30:00,2026.02.05 07:30:00,SELL,8,2026.02.05 15:30:00,2026.02.05 15:30:00,0,OK,4868.77,4868.97,4868.87,20.0,4850.29,4850.48,4850.39,19.0,1848.5,1829.0,37.9657,37.5660,4951.17076751,4950.79455418,4949.13618065,4949.97838946
12,XAUUSD,PERIOD_M15,26090401,2026.02.05 07:30:00,2026.02.05 07:30:00,SELL,12,2026.02.05 19:30:00,2026.02.05 19:30:00,0,OK,4868.77,4868.97,4868.87,20.0,4867.30,4867.34,4867.32,4.0,155.0,143.0,3.1835,2.9371,4951.17076751,4950.79455418,4949.13618065,4949.97838946
12,XAUUSD,PERIOD_M15,26090401,2026.02.05 07:30:00,2026.02.05 07:30:00,SELL,24,2026.02.06 07:30:00,2026.02.06 07:30:00,0,OK,4868.77,4868.97,4868.87,20.0,4852.15,4852.34,4852.24,19.0,1662.5,1643.0,34.1455,33.7457,4951.17076751,4950.79455418,4949.13618065,4949.97838946
13,XAUUSD,PERIOD_M15,26090401,2026.02.06 20:15:00,2026.02.06 20:15:00,BUY,1,2026.02.06 21:15:00,2026.02.06 21:15:00,0,OK,4965.84,4965.88,4965.86,4.0,4958.64,4958.78,4958.71,14.0,-715.0,-724.0,-14.3983,-14.5795,4886.75302301,4886.94047440,4888.70578787,4887.72554431
13,XAUUSD,PERIOD_M15,26090401,2026.02.06 20:15:00,2026.02.06 20:15:00,BUY,2,2026.02.06 22:15:00,2026.02.06 22:15:00,0,OK,4965.84,4965.88,4965.86,4.0,4953.26,4953.33,4953.30,7.0,-1256.5,-1262.0,-25.3028,-25.4134,4886.75302301,4886.94047440,4888.70578787,4887.72554431
