research_join_key,signal_time,signal_time_msc,arm,max_layers,layer_index,entry_time_msc,entry_bid,protection_activated,protection_time_msc,exit_mode,exit_time_msc,exit_ask,observed_r,nominal_net_r_1bps,stress_net_r_2bps
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,CONTROL_L1,1,1,1780510500038,4445.93,NO,0,TIME_EXIT,1780511100128,4443.29,0.32733311,0.27220811,0.21708310
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L3,3,1,1780510500038,4445.93,YES,1780510900308,TIME_EXIT,1780511100128,4443.29,0.32733311,0.27220811,0.21708310
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L3,3,2,1780510900308,4444.64,NO,0,TIME_EXIT,1780511100128,4443.29,0.16738625,0.11227724,0.05716823
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L5,5,1,1780510500038,4445.93,YES,1780510860078,TIME_EXIT,1780511100128,4443.29,0.32733311,0.27220811,0.21708310
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L5,5,2,1780510860078,4443.78,YES,1780510980092,TIME_EXIT,1780511100128,4443.29,0.06075501,0.00565666,-0.04944168
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L5,5,3,1780510980092,4441.41,NO,0,TIME_EXIT,1780511100128,4443.29,-0.23310085,-0.28816981,-0.34323877
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L7,7,1,1780510500038,4445.93,YES,1780510842955,TIME_EXIT,1780511100128,4443.29,0.32733311,0.27220811,0.21708310
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L7,7,2,1780510842955,4444.41,YES,1780511014590,TIME_EXIT,1780511100128,4443.29,0.13886859,0.08376244,0.02865628
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L7,7,3,1780511014590,4441.16,NO,0,TIME_EXIT,1780511100128,4443.29,-0.26409831,-0.31916417,-0.37423003
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L10,10,1,1780510500038,4445.93,YES,1780510860078,TIME_EXIT,1780511100128,4443.29,0.32733311,0.27220811,0.21708310
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L10,10,2,1780510860078,4443.78,YES,1780510980092,TIME_EXIT,1780511100128,4443.29,0.06075501,0.00565666,-0.04944168
1780510500038_SELL,2026.06.03 18:15:00,1780510500038,PYRAMID_L10,10,3,1780510980092,4441.41,NO,0,TIME_EXIT,1780511100128,4443.29,-0.23310085,-0.28816981,-0.34323877
1780535100018_SELL,2026.06.04 01:05:00,1780535100018,CONTROL_L1,1,1,1780535100018,4431.76,NO,0,HARD_SL,1780535311276,4436.50,-1.01062250,-1.10511272,-1.19960294
1780535100018_SELL,2026.06.04 01:05:00,1780535100018,PYRAMID_L3,3,1,1780535100018,4431.76,NO,0,HARD_SL,1780535311276,4436.50,-1.01062250,-1.10511272,-1.19960294
1780535100018_SELL,2026.06.04 01:05:00,1780535100018,PYRAMID_L5,5,1,1780535100018,4431.76,NO,0,HARD_SL,1780535311276,4436.50,-1.01062250,-1.10511272,-1.19960294
1780535100018_SELL,2026.06.04 01:05:00,1780535100018,PYRAMID_L7,7,1,1780535100018,4431.76,NO,0,HARD_SL,1780535311276,4436.50,-1.01062250,-1.10511272,-1.19960294
1780535100018_SELL,2026.06.04 01:05:00,1780535100018,PYRAMID_L10,10,1,1780535100018,4431.76,NO,0,HARD_SL,1780535311276,4436.50,-1.01062250,-1.10511272,-1.19960294
1780650300042_SELL,2026.06.05 09:05:00,1780650300042,CONTROL_L1,1,1,1780650300042,4437.52,NO,0,TIME_EXIT,1780650900099,4436.51,0.16990087,0.09525349,0.02060612
1780650300042_SELL,2026.06.05 09:05:00,1780650300042,PYRAMID_L3,3,1,1780650300042,4437.52,NO,0,TIME_EXIT,1780650900099,4436.51,0.16990087,0.09525349,0.02060612
1780650300042_SELL,2026.06.05 09:05:00,1780650300042,PYRAMID_L5,5,1,1780650300042,4437.52,YES,1780650780108,PROTECTED_STOP,1780650806941,4437.57,-0.00841093,-0.08305831,-0.15770569
1780650300042_SELL,2026.06.05 09:05:00,1780650300042,PYRAMID_L5,5,2,1780650780108,4436.66,NO,0,TIME_EXIT,1780650900099,4436.51,0.02523280,-0.04940011,-0.12403302
1780650300042_SELL,2026.06.05 09:05:00,1780650300042,PYRAMID_L7,7,1,1780650300042,4437.52,NO,0,TIME_EXIT,1780650900099,4436.51,0.16990087,0.09525349,0.02060612
1780650300042_SELL,2026.06.05 09:05:00,1780650300042,PYRAMID_L10,10,1,1780650300042,4437.52,YES,1780650780108,PROTECTED_STOP,1780650806941,4437.57,-0.00841093,-0.08305831,-0.15770569
1780650300042_SELL,2026.06.05 09:05:00,1780650300042,PYRAMID_L10,10,2,1780650780108,4436.66,NO,0,TIME_EXIT,1780650900099,4436.51,0.02523280,-0.04940011,-0.12403302
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,CONTROL_L1,1,1,1780693500009,4333.68,NO,0,TIME_EXIT,1780694100029,4323.03,1.43728160,1.37879598,1.32031036
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L3,3,1,1780693500009,4333.68,YES,1780693700142,TIME_EXIT,1780694100029,4323.03,1.43728160,1.37879598,1.32031036
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L3,3,2,1780693700142,4330.74,YES,1780693900077,TIME_EXIT,1780694100029,4323.03,1.04051090,0.98206496,0.92361902
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L3,3,3,1780693900077,4329.44,NO,0,TIME_EXIT,1780694100029,4323.03,0.86506808,0.80663968,0.74821128
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L5,5,1,1780693500009,4333.68,YES,1780693620048,TIME_EXIT,1780694100029,4323.03,1.43728160,1.37879598,1.32031036
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L5,5,2,1780693620048,4331.08,YES,1780693860077,PROTECTED_STOP,1780693866615,4331.21,-0.01754428,-0.07599481,-0.13444535
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L5,5,3,1780693860077,4330.41,NO,0,TIME_EXIT,1780694100029,4323.03,0.99597542,0.93753393,0.87909244
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L7,7,1,1780693500009,4333.68,YES,1780693585749,TIME_EXIT,1780694100029,4323.03,1.43728160,1.37879598,1.32031036
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L7,7,2,1780693585749,4332.97,YES,1780693671464,TIME_EXIT,1780694100029,4323.03,1.34146283,1.28298679,1.22451075
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L7,7,3,1780693671464,4332.09,YES,1780693757182,TIME_EXIT,1780694100029,4323.03,1.22270153,1.16423737,1.10577321
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L7,7,4,1780693757182,4330.98,YES,1780693928604,TIME_EXIT,1780694100029,4323.03,1.07290035,1.01445117,0.95600199
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L7,7,5,1780693928604,4329.38,YES,1780694014346,PROTECTED_STOP,1780694021802,4329.50,-0.01619472,-0.07462231,-0.13304990
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L7,7,6,1780694014346,4328.16,NO,0,TIME_EXIT,1780694100029,4323.03,0.69232438,0.63391325,0.57550213
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L10,10,1,1780693500009,4333.68,YES,1780693560167,TIME_EXIT,1780694100029,4323.03,1.43728160,1.37879598,1.32031036
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L10,10,2,1780693560167,4332.53,YES,1780693620048,PROTECTED_STOP,1780693654412,4332.67,-0.01889384,-0.07736394,-0.13583404
1780693500009_SELL,2026.06.05 21:05:00,1780693500009,PYRAMID_L10,10,3,1780693620048,4331.08,NO,0,TIME_EXIT,1780694100029,4323.03,1.08639595,1.02794542,0.96949489
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,CONTROL_L1,1,1,1780883400031,4322.48,NO,0,TIME_EXIT,1780884000100,4317.50,0.44821601,0.40931230,0.37040859
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L3,3,1,1780883400031,4322.48,YES,1780883600428,PROTECTED_STOP,1780883612920,4322.62,-0.01260045,-0.05150416,-0.09040787
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L3,3,2,1780883600428,4321.95,NO,0,TIME_EXIT,1780884000100,4317.50,0.40051430,0.36161536,0.32271643
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L5,5,1,1780883400031,4322.48,YES,1780883760040,TIME_EXIT,1780884000100,4317.50,0.44821601,0.40931230,0.37040859
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L5,5,2,1780883760040,4321.03,YES,1780883880057,PROTECTED_STOP,1780883883537,4321.06,-0.00270010,-0.04159076,-0.08048141
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L5,5,3,1780883880057,4320.48,NO,0,TIME_EXIT,1780884000100,4317.50,0.26820958,0.22932387,0.19043816
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L7,7,1,1780883400031,4322.48,YES,1780883742898,TIME_EXIT,1780884000100,4317.50,0.44821601,0.40931230,0.37040859
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L7,7,2,1780883742898,4321.42,YES,1780883828642,TIME_EXIT,1780884000100,4317.50,0.35281260,0.31391843,0.27502426
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L7,7,3,1780883828642,4320.19,YES,1780883914680,PROTECTED_STOP,1780883954569,4320.39,-0.01800064,-0.05688374,-0.09576684
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L7,7,4,1780883914680,4319.93,NO,0,TIME_EXIT,1780884000100,4317.50,0.21870781,0.17982705,0.14094629
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L10,10,1,1780883400031,4322.48,YES,1780883760040,TIME_EXIT,1780884000100,4317.50,0.44821601,0.40931230,0.37040859
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L10,10,2,1780883760040,4321.03,YES,1780883880057,PROTECTED_STOP,1780883883537,4321.06,-0.00270010,-0.04159076,-0.08048141
1780883400031_SELL,2026.06.08 01:50:00,1780883400031,PYRAMID_L10,10,3,1780883880057,4320.48,NO,0,TIME_EXIT,1780884000100,4317.50,0.26820958,0.22932387,0.19043816
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,CONTROL_L1,1,1,1780892100044,4327.03,NO,0,TIME_EXIT,1780892700044,4322.08,0.62432432,0.56974917,0.51517402
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L3,3,1,1780892100044,4327.03,YES,1780892300100,TIME_EXIT,1780892700044,4322.08,0.62432432,0.56974917,0.51517402
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L3,3,2,1780892300100,4319.92,YES,1780892500113,PROTECTED_STOP,1780892559248,4319.95,-0.00378378,-0.05826926,-0.11275474
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L3,3,3,1780892500113,4315.79,NO,0,HARD_SL,1780892587720,4323.89,-1.02162162,-1.07605501,-1.13048840
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L5,5,1,1780892100044,4327.03,YES,1780892220122,TIME_EXIT,1780892700044,4322.08,0.62432432,0.56974917,0.51517402
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L5,5,2,1780892220122,4321.27,YES,1780892340048,PROTECTED_STOP,1780892566288,4321.48,-0.02648649,-0.08098899,-0.13549150
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L5,5,3,1780892340048,4317.39,YES,1780892460046,PROTECTED_STOP,1780892555729,4317.61,-0.02774775,-0.08220132,-0.13665488
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L5,5,4,1780892460046,4314.63,NO,0,HARD_SL,1780892585203,4322.61,-1.00648649,-1.06090524,-1.11532400
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L7,7,1,1780892100044,4327.03,YES,1780892185816,TIME_EXIT,1780892700044,4322.08,0.62432432,0.56974917,0.51517402
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L7,7,2,1780892185816,4322.87,YES,1780892271538,PROTECTED_STOP,1780892585304,4323.14,-0.03405405,-0.08857674,-0.14309942
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L7,7,3,1780892271538,4320.02,YES,1780892357252,PROTECTED_STOP,1780892559358,4320.02,0.00000000,-0.05448674,-0.10897348
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L7,7,4,1780892357252,4315.53,NO,0,HARD_SL,1780892586310,4323.46,-1.00018018,-1.05461029,-1.10904040
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L10,10,1,1780892100044,4327.03,YES,1780892160073,TIME_EXIT,1780892700044,4322.08,0.62432432,0.56974917,0.51517402
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L10,10,2,1780892160073,4323.33,YES,1780892220122,PROTECTED_STOP,1780892586208,4323.45,-0.01513514,-0.06966362,-0.12419211
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L10,10,3,1780892220122,4321.27,YES,1780892280126,PROTECTED_STOP,1780892282398,4321.48,-0.02648649,-0.08098899,-0.13549150
1780892100044_SELL,2026.06.08 04:15:00,1780892100044,PYRAMID_L10,10,4,1780892280126,4320.98,NO,0,TIME_EXIT,1780892700044,4322.08,-0.13873874,-0.19323759,-0.24773643
1780904700039_SELL,2026.06.08 07:45:00,1780904700039,CONTROL_L1,1,1,1780904700039,4307.67,NO,0,HARD_SL,1780905135471,4313.31,-1.02312925,-1.10127293,-1.17941660
1780904700039_SELL,2026.06.08 07:45:00,1780904700039,PYRAMID_L3,3,1,1780904700039,4307.67,NO,0,HARD_SL,1780905135471,4313.31,-1.02312925,-1.10127293,-1.17941660
1780904700039_SELL,2026.06.08 07:45:00,1780904700039,PYRAMID_L5,5,1,1780904700039,4307.67,NO,0,HARD_SL,1780905135471,4313.31,-1.02312925,-1.10127293,-1.17941660
1780904700039_SELL,2026.06.08 07:45:00,1780904700039,PYRAMID_L7,7,1,1780904700039,4307.67,NO,0,HARD_SL,1780905135471,4313.31,-1.02312925,-1.10127293,-1.17941660
1780904700039_SELL,2026.06.08 07:45:00,1780904700039,PYRAMID_L10,10,1,1780904700039,4307.67,NO,0,HARD_SL,1780905135471,4313.31,-1.02312925,-1.10127293,-1.17941660
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,CONTROL_L1,1,1,1780916100039,4296.52,NO,0,TIME_EXIT,1780916700360,4293.48,0.35173554,0.30202374,0.25231193
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L3,3,1,1780916100039,4296.52,YES,1780916500155,PROTECTED_STOP,1780916629874,4296.54,-0.00231405,-0.05202585,-0.10173765
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L3,3,2,1780916500155,4291.13,NO,0,TIME_EXIT,1780916700360,4293.48,-0.27190083,-0.32155026,-0.37119970
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L5,5,1,1780916100039,4296.52,YES,1780916340083,PROTECTED_STOP,1780916340810,4296.74,-0.02545455,-0.07516635,-0.12487815
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L5,5,2,1780916340083,4296.24,NO,0,TIME_EXIT,1780916700360,4293.48,0.31933884,0.26963028,0.21992172
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L7,7,1,1780916100039,4296.52,YES,1780916357305,PROTECTED_STOP,1780916402489,4296.52,0.00000000,-0.04971180,-0.09942360
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L7,7,2,1780916357305,4295.66,NO,0,TIME_EXIT,1780916700360,4293.48,0.25223140,0.20252955,0.15282770
1780916100039_SELL,2026.06.08 10:55:00,1780916100039,PYRAMID_L10,10,1,1780916100039,4296.52,YES,1780916340083,PROTECTED_STOP,1780916340810,4296.74,-0.02545455,-0.07516635,-0.12487815
