candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,gate_result,gate_reason,research_horizon_minutes,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_trend,entry_bid,entry_ask,entry_mid,spread_points
P2F4_CANDIDATE_S1,1769477100011_BUY,XAUUSD,PERIOD_M5,2026.01.27 01:25:00,1769477100011,2026.01.27 01:25:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5045.71,5045.84,5045.77,13.0
P2F4_CANDIDATE_S1,1769482200011_SELL,XAUUSD,PERIOD_M5,2026.01.27 02:50:00,1769482200011,2026.01.27 02:50:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,5046.00868767,5057.59003480,BEARISH,5023.55,5023.68,5023.61,13.0
P2F4_CANDIDATE_S1,1769483700035_BUY,XAUUSD,PERIOD_M5,2026.01.27 03:15:00,1769483700035,2026.01.27 03:15:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5071.54,5071.77,5071.66,23.0
P2F4_CANDIDATE_S1,1769496600065_SELL,XAUUSD,PERIOD_M5,2026.01.27 06:50:00,1769496600065,2026.01.27 06:50:00,SELL,REJECT,M15_NOT_BEARISH,10,5064.38817710,5062.47639646,BULLISH,5065.35,5065.47,5065.41,12.0
P2F4_CANDIDATE_S1,1769499900099_BUY,XAUUSD,PERIOD_M5,2026.01.27 07:45:00,1769499900099,2026.01.27 07:45:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5074.62,5074.76,5074.69,14.0
P2F4_CANDIDATE_S1,1769509800014_SELL,XAUUSD,PERIOD_M5,2026.01.27 10:30:00,1769509800014,2026.01.27 10:30:00,SELL,REJECT,M15_NOT_BEARISH,10,5078.67584084,5071.08141520,BULLISH,5077.61,5077.75,5077.68,14.0
P2F4_CANDIDATE_S1,1769513400022_BUY,XAUUSD,PERIOD_M5,2026.01.27 11:30:00,1769513400022,2026.01.27 11:30:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5088.45,5088.61,5088.53,16.0
P2F4_CANDIDATE_S1,1769517900013_SELL,XAUUSD,PERIOD_M5,2026.01.27 12:45:00,1769517900013,2026.01.27 12:45:00,SELL,REJECT,M15_NOT_BEARISH,10,5084.48825696,5076.22049782,BULLISH,5084.61,5084.74,5084.67,13.0
P2F4_CANDIDATE_S1,1769525100004_BUY,XAUUSD,PERIOD_M5,2026.01.27 14:45:00,1769525100004,2026.01.27 14:45:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5089.30,5089.49,5089.40,19.0
P2F4_CANDIDATE_S1,1769528100089_SELL,XAUUSD,PERIOD_M5,2026.01.27 15:35:00,1769528100089,2026.01.27 15:35:00,SELL,REJECT,M15_NOT_BEARISH,10,5084.54120180,5079.21622109,BULLISH,5076.56,5076.75,5076.66,19.0
P2F4_CANDIDATE_S1,1769535600023_BUY,XAUUSD,PERIOD_M5,2026.01.27 17:40:00,1769535600023,2026.01.27 17:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5083.23,5083.42,5083.32,19.0
P2F4_CANDIDATE_S1,1769543100048_SELL,XAUUSD,PERIOD_M5,2026.01.27 19:45:00,1769543100048,2026.01.27 19:45:00,SELL,REJECT,M15_NOT_BEARISH,10,5082.82747440,5079.66879755,BULLISH,5082.01,5082.05,5082.03,4.0
P2F4_CANDIDATE_S1,1769546400044_BUY,XAUUSD,PERIOD_M5,2026.01.27 20:40:00,1769546400044,2026.01.27 20:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5090.00,5090.04,5090.02,4.0
P2F4_CANDIDATE_S1,1769567100257_SELL,XAUUSD,PERIOD_M5,2026.01.28 02:25:00,1769567100257,2026.01.28 02:25:00,SELL,REJECT,M15_NOT_BEARISH,10,5146.04548333,5116.72177785,BULLISH,5163.61,5163.77,5163.69,16.0
P2F4_CANDIDATE_S1,1769568300002_BUY,XAUUSD,PERIOD_M5,2026.01.28 02:45:00,1769568300002,2026.01.28 02:45:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5168.26,5168.42,5168.34,16.0
P2F4_CANDIDATE_S1,1769599500024_SELL,XAUUSD,PERIOD_M5,2026.01.28 11:25:00,1769599500024,2026.01.28 11:25:00,SELL,REJECT,M15_NOT_BEARISH,10,5268.86984814,5224.07651568,BULLISH,5269.60,5269.69,5269.65,9.0
P2F4_CANDIDATE_S1,1769611500008_BUY,XAUUSD,PERIOD_M5,2026.01.28 14:45:00,1769611500008,2026.01.28 14:45:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5269.56,5269.76,5269.66,20.0
P2F4_CANDIDATE_S1,1769615400003_SELL,XAUUSD,PERIOD_M5,2026.01.28 15:50:00,1769615400003,2026.01.28 15:50:00,SELL,REJECT,M15_NOT_BEARISH,10,5269.46083897,5247.49599415,BULLISH,5266.23,5266.32,5266.27,9.0
P2F4_CANDIDATE_S1,1769618700022_BUY,XAUUSD,PERIOD_M5,2026.01.28 16:45:00,1769618700022,2026.01.28 16:45:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5279.21,5279.37,5279.29,16.0
P2F4_CANDIDATE_S1,1769620500019_SELL,XAUUSD,PERIOD_M5,2026.01.28 17:15:00,1769620500019,2026.01.28 17:15:00,SELL,REJECT,M15_NOT_BEARISH,10,5269.13958981,5251.99614949,BULLISH,5256.82,5256.96,5256.89,14.0
P2F4_CANDIDATE_S1,1769622000027_BUY,XAUUSD,PERIOD_M5,2026.01.28 17:40:00,1769622000027,2026.01.28 17:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5274.41,5274.57,5274.49,16.0
P2F4_CANDIDATE_S1,1769633100011_SELL,XAUUSD,PERIOD_M5,2026.01.28 20:45:00,1769633100011,2026.01.28 20:45:00,SELL,REJECT,M15_NOT_BEARISH,10,5285.56480957,5268.25717936,BULLISH,5273.65,5273.85,5273.75,20.0
P2F4_CANDIDATE_S1,1769636400037_BUY,XAUUSD,PERIOD_M5,2026.01.28 21:40:00,1769636400037,2026.01.28 21:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5301.00,5301.20,5301.10,20.0
P2F4_CANDIDATE_S1,1769678700014_SELL,XAUUSD,PERIOD_M5,2026.01.29 09:25:00,1769678700014,2026.01.29 09:25:00,SELL,REJECT,M15_NOT_BEARISH,10,5546.52701589,5479.22838352,BULLISH,5555.27,5555.46,5555.36,19.0
P2F4_CANDIDATE_S1,1769694300052_BUY,XAUUSD,PERIOD_M5,2026.01.29 13:45:00,1769694300052,2026.01.29 13:45:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,5514.47,5514.65,5514.56,18.0
