candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,stop_atr_multiplier,m5_atr,m5_atr_points,entry_bid,entry_ask,entry_mid,spread_points,policy_id,policy_type,trigger_r,initial_lock_r,trail_gap_r,activated,activation_time,activation_time_msc,time_to_activation_seconds,max_favorable_r,stop_distance,hard_stop_price,final_stop_price,final_locked_r,exit_mode,exit_time,exit_time_msc,exit_ask,holding_seconds,realized_r,realized_bps,ticks_scanned,target_time,target_time_msc,target_delay_milliseconds,target_ask
P2F4_CANDIDATE_S1,1773782400069_SELL,XAUUSD,PERIOD_M5,2026.03.17 21:20:00,1773782400069,2026.03.17 21:20:00,SELL,10,OK,1.250000,3.25,324.64,5000.65,5000.82,5000.73,17.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,NO,,,,0.593883,4.06,5004.71,5004.71,-1.000000,TIME_EXIT,2026.03.17 21:30:00,1773783000145,5000.05,600.076,0.147855,1.1998,1911,2026.03.17 21:30:00,1773783000145,76,5000.05
P2F4_CANDIDATE_S1,1773782400069_SELL,XAUUSD,PERIOD_M5,2026.03.17 21:20:00,1773782400069,2026.03.17 21:20:00,SELL,10,OK,1.250000,3.25,324.64,5000.65,5000.82,5000.73,17.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,NO,,,,0.593883,4.06,5004.71,5004.71,-1.000000,TIME_EXIT,2026.03.17 21:30:00,1773783000145,5000.05,600.076,0.147855,1.1998,1911,2026.03.17 21:30:00,1773783000145,76,5000.05
P2F4_CANDIDATE_S1,1773792600866_SELL,XAUUSD,PERIOD_M5,2026.03.18 00:10:00,1773792600866,2026.03.18 00:10:00,SELL,10,OK,1.250000,2.86,285.79,5001.09,5001.25,5001.17,16.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,0.142764,3.57,5004.66,5004.66,-1.000000,HARD_SL,2026.03.18 00:15:40,1773792940477,5004.82,339.611,-1.000000,-7.1431,582,2026.03.18 00:20:01,1773793201555,689,5000.92
P2F4_CANDIDATE_S1,1773792600866_SELL,XAUUSD,PERIOD_M5,2026.03.18 00:10:00,1773792600866,2026.03.18 00:10:00,SELL,10,OK,1.250000,2.86,285.79,5001.09,5001.25,5001.17,16.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,NO,,,,0.142764,3.57,5004.66,5004.66,-1.000000,HARD_SL,2026.03.18 00:15:40,1773792940477,5004.82,339.611,-1.000000,-7.1431,582,2026.03.18 00:20:01,1773793201555,689,5000.92
P2F4_CANDIDATE_S1,1773792600866_SELL,XAUUSD,PERIOD_M5,2026.03.18 00:10:00,1773792600866,2026.03.18 00:10:00,SELL,10,OK,1.250000,2.86,285.79,5001.09,5001.25,5001.17,16.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,NO,,,,0.142764,3.57,5004.66,5004.66,-1.000000,HARD_SL,2026.03.18 00:15:40,1773792940477,5004.82,339.611,-1.000000,-7.1431,582,2026.03.18 00:20:01,1773793201555,689,5000.92
P2F4_CANDIDATE_S1,1773792600866_SELL,XAUUSD,PERIOD_M5,2026.03.18 00:10:00,1773792600866,2026.03.18 00:10:00,SELL,10,OK,1.250000,2.86,285.79,5001.09,5001.25,5001.17,16.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,NO,,,,0.142764,3.57,5004.66,5004.66,-1.000000,HARD_SL,2026.03.18 00:15:40,1773792940477,5004.82,339.611,-1.000000,-7.1431,582,2026.03.18 00:20:01,1773793201555,689,5000.92
P2F4_CANDIDATE_S1,1773805800012_SELL,XAUUSD,PERIOD_M5,2026.03.18 03:50:00,1773805800012,2026.03.18 03:50:00,SELL,10,OK,1.250000,4.63,463.29,4998.93,4999.14,4999.03,21.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,1.279556,5.79,5004.72,5004.72,-1.000000,TIME_EXIT,2026.03.18 04:00:00,1773806400091,4999.13,600.079,-0.034536,-0.4001,3645,2026.03.18 04:00:00,1773806400091,79,4999.13
P2F4_CANDIDATE_S1,1773805800012_SELL,XAUUSD,PERIOD_M5,2026.03.18 03:50:00,1773805800012,2026.03.18 03:50:00,SELL,10,OK,1.250000,4.63,463.29,4998.93,4999.14,4999.03,21.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,YES,2026.03.18 03:50:14,1773805814333,14.321,1.279556,5.79,5004.72,4998.93,0.000000,RETENTION_STOP,2026.03.18 03:54:58,1773806098769,4998.97,298.757,0.000000,0.0000,3645,2026.03.18 04:00:00,1773806400091,79,4999.13
P2F4_CANDIDATE_S1,1773805800012_SELL,XAUUSD,PERIOD_M5,2026.03.18 03:50:00,1773805800012,2026.03.18 03:50:00,SELL,10,OK,1.250000,4.63,463.29,4998.93,4999.14,4999.03,21.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,YES,2026.03.18 03:52:10,1773805930438,130.426,1.279556,5.79,5004.72,4997.48,0.250000,RETENTION_STOP,2026.03.18 03:54:40,1773806080458,4997.62,280.446,0.250000,2.8962,3645,2026.03.18 04:00:00,1773806400091,79,4999.13
P2F4_CANDIDATE_S1,1773805800012_SELL,XAUUSD,PERIOD_M5,2026.03.18 03:50:00,1773805800012,2026.03.18 03:50:00,SELL,10,OK,1.250000,4.63,463.29,4998.93,4999.14,4999.03,21.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,YES,2026.03.18 03:52:14,1773805934158,134.146,1.279556,5.79,5004.72,4994.42,0.779556,RETENTION_STOP,2026.03.18 03:52:42,1773805962194,4994.76,162.182,0.779556,9.0309,3645,2026.03.18 04:00:00,1773806400091,79,4999.13
