signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
36,XAUUSD,PERIOD_H1,26090401,2025.05.29 22:00:00,2025.05.29 22:00:00,BUY,4,2025.05.30 02:00:00,2025.05.30 02:00:00,0,OK,3321.10,3321.59,3321.35,49.0,3314.48,3314.66,3314.57,18.0,-677.5,-711.0,-20.3984,-21.4054,3300.82689364,3300.97441888,3302.76052282,3301.76483383
36,XAUUSD,PERIOD_H1,26090401,2025.05.29 22:00:00,2025.05.29 22:00:00,BUY,8,2025.05.30 06:00:00,2025.05.30 06:00:00,0,OK,3321.10,3321.59,3321.35,49.0,3297.29,3297.46,3297.38,17.0,-2397.0,-2430.0,-72.1696,-73.1577,3300.82689364,3300.97441888,3302.76052282,3301.76483383
36,XAUUSD,PERIOD_H1,26090401,2025.05.29 22:00:00,2025.05.29 22:00:00,BUY,12,2025.05.30 10:00:00,2025.05.30 10:00:00,0,OK,3321.10,3321.59,3321.35,49.0,3301.62,3301.80,3301.71,18.0,-1963.5,-1997.0,-59.1176,-60.1218,3300.82689364,3300.97441888,3302.76052282,3301.76483383
37,XAUUSD,PERIOD_H1,26090401,2025.05.30 12:00:00,2025.05.30 12:00:00,SELL,1,2025.05.30 13:00:00,2025.05.30 13:00:00,0,OK,3295.54,3295.71,3295.63,17.0,3295.54,3295.71,3295.63,17.0,0.0,-17.0,0.0000,-0.5158,3303.50336436,3303.09313437,3302.76685346,3302.80595263
37,XAUUSD,PERIOD_H1,26090401,2025.05.30 12:00:00,2025.05.30 12:00:00,SELL,2,2025.05.30 14:00:00,2025.05.30 14:00:00,0,OK,3295.54,3295.71,3295.63,17.0,3295.21,3295.39,3295.30,18.0,32.5,15.0,0.9862,0.4552,3303.50336436,3303.09313437,3302.76685346,3302.80595263
37,XAUUSD,PERIOD_H1,26090401,2025.05.30 12:00:00,2025.05.30 12:00:00,SELL,4,2025.05.30 16:00:00,2025.05.30 16:00:00,0,OK,3295.54,3295.71,3295.63,17.0,3303.96,3304.13,3304.05,17.0,-842.0,-859.0,-25.5490,-26.0655,3303.50336436,3303.09313437,3302.76685346,3302.80595263
37,XAUUSD,PERIOD_H1,26090401,2025.05.30 12:00:00,2025.05.30 12:00:00,SELL,8,2025.05.30 20:00:00,2025.05.30 20:00:00,0,OK,3295.54,3295.71,3295.63,17.0,3293.32,3293.49,3293.40,17.0,222.0,205.0,6.7362,6.2205,3303.50336436,3303.09313437,3302.76685346,3302.80595263
36,XAUUSD,PERIOD_H1,26090401,2025.05.29 22:00:00,2025.05.29 22:00:00,BUY,24,2025.05.30 22:00:00,2025.05.30 22:00:00,0,OK,3321.10,3321.59,3321.35,49.0,3293.81,3293.98,3293.89,17.0,-2745.0,-2778.0,-82.6472,-83.6346,3300.82689364,3300.97441888,3302.76052282,3301.76483383
37,XAUUSD,PERIOD_H1,26090401,2025.05.30 12:00:00,2025.05.30 12:00:00,SELL,12,2025.05.31 00:00:00,,,NO_TICK_NEAR_TARGET,3295.54,3295.71,3295.63,17.0,,,,,,,,,3303.50336436,3303.09313437,3302.76685346,3302.80595263
37,XAUUSD,PERIOD_H1,26090401,2025.05.30 12:00:00,2025.05.30 12:00:00,SELL,24,2025.05.31 12:00:00,,,NO_TICK_NEAR_TARGET,3295.54,3295.71,3295.63,17.0,,,,,,,,,3303.50336436,3303.09313437,3302.76685346,3302.80595263
38,XAUUSD,PERIOD_H1,26090401,2025.06.02 07:00:00,2025.06.02 07:00:00,BUY,1,2025.06.02 08:00:00,2025.06.02 08:00:00,0,OK,3308.83,3309.01,3308.92,18.0,3313.94,3314.11,3314.03,17.0,510.5,493.0,15.4280,14.8987,3300.25493211,3300.36822089,3301.06208143,3300.69613380
38,XAUUSD,PERIOD_H1,26090401,2025.06.02 07:00:00,2025.06.02 07:00:00,BUY,2,2025.06.02 09:00:00,2025.06.02 09:00:00,0,OK,3308.83,3309.01,3308.92,18.0,3323.87,3324.04,3323.95,17.0,1503.5,1486.0,45.4378,44.9077,3300.25493211,3300.36822089,3301.06208143,3300.69613380
38,XAUUSD,PERIOD_H1,26090401,2025.06.02 07:00:00,2025.06.02 07:00:00,BUY,4,2025.06.02 11:00:00,2025.06.02 11:00:00,0,OK,3308.83,3309.01,3308.92,18.0,3352.53,3352.71,3352.62,18.0,4370.0,4352.0,132.0673,131.5197,3300.25493211,3300.36822089,3301.06208143,3300.69613380
38,XAUUSD,PERIOD_H1,26090401,2025.06.02 07:00:00,2025.06.02 07:00:00,BUY,8,2025.06.02 15:00:00,2025.06.02 15:00:00,0,OK,3308.83,3309.01,3308.92,18.0,3356.12,3356.30,3356.21,18.0,4729.0,4711.0,142.9167,142.3689,3300.25493211,3300.36822089,3301.06208143,3300.69613380
38,XAUUSD,PERIOD_H1,26090401,2025.06.02 07:00:00,2025.06.02 07:00:00,BUY,12,2025.06.02 19:00:00,2025.06.02 19:00:00,0,OK,3308.83,3309.01,3308.92,18.0,3374.28,3374.45,3374.36,17.0,6544.5,6527.0,197.7836,197.2493,3300.25493211,3300.36822089,3301.06208143,3300.69613380
38,XAUUSD,PERIOD_H1,26090401,2025.06.02 07:00:00,2025.06.02 07:00:00,BUY,24,2025.06.03 07:00:00,2025.06.03 07:00:00,0,OK,3308.83,3309.01,3308.92,18.0,3361.14,3361.31,3361.22,17.0,5230.5,5213.0,158.0727,157.5396,3300.25493211,3300.36822089,3301.06208143,3300.69613380
39,XAUUSD,PERIOD_H1,26090401,2025.06.06 14:00:00,2025.06.06 14:00:00,SELL,1,2025.06.06 15:00:00,2025.06.06 15:00:00,0,OK,3360.70,3360.88,3360.79,18.0,3358.37,3358.55,3358.46,18.0,233.0,215.0,6.9329,6.3975,3363.87053084,3363.84217923,3363.55714695,3363.71425063
39,XAUUSD,PERIOD_H1,26090401,2025.06.06 14:00:00,2025.06.06 14:00:00,SELL,2,2025.06.06 16:00:00,2025.06.06 16:00:00,0,OK,3360.70,3360.88,3360.79,18.0,3353.39,3353.56,3353.47,17.0,731.5,714.0,21.7657,21.2456,3363.87053084,3363.84217923,3363.55714695,3363.71425063
