position_id,symbol,timeframe,magic,side,entry_deal_id,exit_deal_id,entry_order_id,exit_order_id,entry_time,exit_time,holding_seconds,holding_hours,entry_volume,exit_volume,entry_price,exit_price,initial_sl,initial_tp,gross_pnl,commission,swap,fee,net_pnl,mt5_exit_reason,strategy_exit_reason,balance_after,diagnostics_status,ticks_scanned,best_price,worst_price,mfe_points,mae_points,mfe_money,mae_money,mfe_r,mae_r
110,XAUUSD,PERIOD_H1,26090401,BUY,110,111,110,111,2025.07.18 12:00:00,2025.07.21 08:27:01,246421,68.4503,0.0900,0.0900,3347.62,3367.64,3342.62,3367.62,180.18,0.00,0.00,0.00,180.18,DEAL_REASON_TP,TAKE_PROFIT,9967.74,OK,59109,3367.64,3345.00,2002.0,262.0,180.18,23.58,4.0040,0.5240
112,XAUUSD,PERIOD_H1,26090401,SELL,112,113,112,113,2025.07.24 05:00:00,2025.07.24 10:55:29,21329,5.9247,0.0900,0.0900,3387.71,3367.63,3392.71,3367.71,180.72,0.00,0.00,0.00,180.72,DEAL_REASON_TP,TAKE_PROFIT,10148.46,OK,22955,3367.63,3389.02,2008.0,131.0,180.72,11.79,4.0160,0.2620
114,XAUUSD,PERIOD_H1,26090401,BUY,114,115,114,115,2025.08.01 17:00:00,2025.08.04 14:16:16,249376,69.2711,0.1000,0.1000,3345.22,3365.25,3340.22,3365.22,200.30,0.00,0.00,0.00,200.30,DEAL_REASON_TP,TAKE_PROFIT,10348.76,OK,67090,3365.25,3340.55,2003.0,467.0,200.30,46.70,4.0060,0.9340
116,XAUUSD,PERIOD_H1,26090401,SELL,116,117,116,117,2025.08.11 10:00:00,2025.08.11 15:30:33,19833,5.5092,0.1000,0.1000,3365.80,3345.41,3370.80,3345.80,203.90,0.00,0.00,0.00,203.90,DEAL_REASON_TP,TAKE_PROFIT,10552.66,OK,22761,3345.41,3366.59,2039.0,79.0,203.90,7.90,4.0780,0.1580
118,XAUUSD,PERIOD_H1,26090401,BUY,118,119,118,119,2025.08.14 04:00:00,2025.08.14 05:30:03,5403,1.5008,0.1000,0.1000,3369.61,3364.46,3364.61,3389.61,-51.50,0.00,0.00,0.00,-51.50,DEAL_REASON_SL,STOP_LOSS,10501.16,OK,5526,3370.90,3364.46,129.0,515.0,12.90,51.50,0.2580,1.0300
120,XAUUSD,PERIOD_H1,26090401,SELL,120,121,120,121,2025.08.14 12:00:00,2025.08.14 12:08:23,503,0.1397,0.1000,0.1000,3346.18,3351.24,3351.18,3326.18,-50.60,0.00,0.00,0.00,-50.60,DEAL_REASON_SL,STOP_LOSS,10450.56,OK,565,3345.28,3351.24,90.0,506.0,9.00,50.60,0.1800,1.0120
122,XAUUSD,PERIOD_H1,26090401,BUY,122,123,122,123,2025.08.20 20:00:00,2025.08.21 06:52:16,39136,10.8711,0.1000,0.1000,3345.29,3340.29,3340.29,3365.29,-50.00,0.00,0.00,0.00,-50.00,DEAL_REASON_SL,STOP_LOSS,10400.56,OK,24003,3352.06,3340.29,677.0,500.0,67.70,50.00,1.3540,1.0000
124,XAUUSD,PERIOD_H1,26090401,SELL,124,125,124,125,2025.08.22 08:00:01,2025.08.22 10:08:26,7705,2.1403,0.1000,0.1000,3328.36,3333.36,3333.36,3308.36,-50.00,0.00,0.00,0.00,-50.00,DEAL_REASON_SL,STOP_LOSS,10350.56,OK,6192,3326.00,3333.36,236.0,500.0,23.60,50.00,0.4720,1.0000
126,XAUUSD,PERIOD_H1,26090401,BUY,126,127,126,127,2025.08.22 18:00:00,2025.08.22 18:47:54,2874,0.7983,0.1000,0.1000,3373.97,3368.90,3368.97,3393.97,-50.70,0.00,0.00,0.00,-50.70,DEAL_REASON_SL,STOP_LOSS,10299.86,OK,3571,3378.79,3368.90,482.0,507.0,48.20,50.70,0.9640,1.0140
128,XAUUSD,PERIOD_H1,26090401,SELL,128,129,128,129,2025.09.11 14:00:00,2025.09.11 15:30:22,5422,1.5061,0.1000,0.1000,3621.82,3630.76,3626.82,3601.82,-89.40,0.00,0.00,0.00,-89.40,DEAL_REASON_SL,STOP_LOSS,10210.46,OK,6179,3613.77,3630.76,805.0,894.0,80.50,89.40,1.6100,1.7880
