partition,cap,extra_cost_bps,reference_risk,compounded_return,closed_opportunity_max_dd,mean_log_growth,worst_day_R,max_consecutive_losses
JUL_AUG,3,2.5,0.0025,-0.027524207748474527,-0.03368879140846148,-0.0011164038434281387,-2.7929009750000002,10
JUL_AUG,3,2.5,0.005,-0.0543950474794308,-0.06632629377365018,-0.0022372157962747283,-2.7929009750000002,10
JUL_AUG,3,3,0.0025,-0.032168993479506636,-0.03778726687567446,-0.0013079114794896857,-3.0449728500000006,10
JUL_AUG,3,3,0.005,-0.06341470620908185,-0.0742409474140463,-0.0026205873621047327,-3.0449728500000006,10
JUL_AUG,5,0,0.0025,-0.0007037447295975552,-0.013157252101001493,-2.8159698966372394e-05,-1.4587136,5
JUL_AUG,5,0,0.005,-0.0015218116808549675,-0.02617624244636274,-6.091883249547338e-05,-1.4587136,5
JUL_AUG,5,0.5,0.0025,-0.00574932293727648,-0.016429938973549496,-0.00023063655664881243,-1.7890856150000003,7
JUL_AUG,5,0.5,0.005,-0.011574141841311225,-0.03262763470178476,-0.000465665743050101,-1.7890856150000003,7
JUL_AUG,5,1,0.0025,-0.010770745037706364,-0.01998692839225713,-0.0004331667762699521,-2.1194576300000003,8
JUL_AUG,5,1,0.005,-0.021530481287792114,-0.039629589838930945,-0.0008706257466502129,-2.1194576300000003,8
JUL_AUG,5,1.5,0.0025,-0.0157681204893787,-0.024309645765297372,-0.0006357503912717623,-2.4498296450000003,10
JUL_AUG,5,1.5,0.005,-0.031391697839903365,-0.04808940133164119,-0.0012757991100343883,-2.4498296450000003,10
JUL_AUG,5,2,0.0025,-0.020741558282272088,-0.028614369351660396,-0.0008383874351311306,-2.7802016600000004,10
JUL_AUG,5,2,0.005,-0.041158651904060095,-0.05647886793840684,-0.0016811861004974876,-2.7802016600000004,10
JUL_AUG,5,2.5,0.0025,-0.025691166939749377,-0.032901169685790266,-0.001041077941359912,-3.110573675,10
JUL_AUG,5,2.5,0.005,-0.05083219653319859,-0.06479854062376234,-0.0020867869858923,-3.110573675,10
JUL_AUG,5,3,0.0025,-0.0306170545204294,-0.03717011704236117,-0.0012438219435049814,-3.4409456900000004,10
JUL_AUG,5,3,0.005,-0.060413177486023706,-0.07304896629699686,-0.002492602034631192,-3.4409456900000004,10
JUL_AUG,7,0,0.0025,-0.008156103892051236,-0.016399391050583634,-0.00032758187497978456,-1.88027005,4
JUL_AUG,7,0,0.005,-0.016330427947235826,-0.03257108518348717,-0.0006586095633187909,-1.88027005,4
JUL_AUG,7,0.5,0.0025,-0.013221401113062137,-0.020291534067304662,-0.0005323832779470031,-2.20123754,8
JUL_AUG,7,0.5,0.005,-0.026353443313608893,-0.040230392916042024,-0.0010682767736478894,-2.20123754,8
JUL_AUG,7,1,0.0025,-0.018262113738200858,-0.02477242895374121,-0.0007372369809479579,-2.5222050300000003,8
JUL_AUG,7,1,0.005,-0.036279372275137556,-0.04899734725699123,-0.0014781532655167035,-2.5222050300000003,8
JUL_AUG,7,1.5,0.0025,-0.023278354953018443,-0.029233953617284536,-0.0009421430146593247,-2.8431725200000004,10
