opportunity,time,partition,deadline_minutes,delay_minutes,entry_bid,exit_ask,gross_executable_bps,control_bps,incremental_bps,entry_improvement_original_bps,entry_delay_ms
1768553400028_CTXSELL,2026.01.16 08:50:00,JAN_JUN,10,3,4597.32,4598.21,-1.9359104869800827,-3.067351200835047,1.1314407138549645,1.1312217194559848,104
1768553400028_CTXSELL,2026.01.16 08:50:00,JAN_JUN,10,5,4596.85,4598.21,-2.9585477011424617,-3.067351200835047,0.10880349969258551,0.1087713191789547,8
1768560600013_CTXSELL,2026.01.16 10:50:00,JAN_JUN,10,0,4602.94,4603.08,-0.30415343237219566,-0.30415343237219566,0.0,0.0,0
1768560600013_CTXSELL,2026.01.16 10:50:00,JAN_JUN,10,1,4603.64,4603.08,1.2164287389987056,-0.30415343237219566,1.5205821713709013,1.5207671618590024,29
1768560600013_CTXSELL,2026.01.16 10:50:00,JAN_JUN,10,3,4604.61,4603.08,3.322756976160295,-0.30415343237219566,3.6269104085324906,3.628115943288578,205
1768560600013_CTXSELL,2026.01.16 10:50:00,JAN_JUN,10,5,4606.38,4603.08,7.163976918969303,-0.30415343237219566,7.4681303513414985,7.473484338271864,69
1768568700253_CTXSELL,2026.01.16 13:05:00,JAN_JUN,10,0,4601.36,4606.6,-11.387937479355433,-11.387937479355433,0.0,0.0,0
1768568700253_CTXSELL,2026.01.16 13:05:00,JAN_JUN,10,1,4600.89,4606.6,-12.41064228877464,-11.387937479355433,-1.0227048094192082,-1.0214371403223073,31
1768568700253_CTXSELL,2026.01.16 13:05:00,JAN_JUN,10,3,4599.99,4606.6,-14.369596455645734,-11.387937479355433,-2.9816589762903014,-2.9773806005178707,14
1768568700253_CTXSELL,2026.01.16 13:05:00,JAN_JUN,10,5,4601.97,4606.6,-10.06090869779705,-11.387937479355433,1.3270287815583828,1.3256950119107875,64
1768584600017_CTXSELL,2026.01.16 17:30:00,JAN_JUN,10,0,4565.12,4548.37,36.69125893733352,36.69125893733352,0.0,0.0,0
1768584600017_CTXSELL,2026.01.16 17:30:00,JAN_JUN,10,1,4563.64,4548.37,33.46013270109044,36.69125893733352,-3.2311262362430853,-3.2419739240141845,10
1768584600017_CTXSELL,2026.01.16 17:30:00,JAN_JUN,10,3,4553.75,4548.37,11.814438649464966,36.69125893733352,-24.876820287868554,-24.906245618953918,18
1768584600017_CTXSELL,2026.01.16 17:30:00,JAN_JUN,10,5,4544.33,4548.37,-8.890199435340223,36.69125893733352,-45.581458372673744,-45.540971540726126,29
1768591500037_CTXSELL,2026.01.16 19:25:00,JAN_JUN,10,0,4584.53,4583.63,1.963123809855397,1.963123809855397,0.0,0.0,0
1768591500037_CTXSELL,2026.01.16 19:25:00,JAN_JUN,10,1,4581.88,4583.63,-3.819392912952762,1.963123809855397,-5.782516722808159,-5.780308995686878,5
1768591500037_CTXSELL,2026.01.16 19:25:00,JAN_JUN,10,3,4581.15,4583.63,-5.413487879681899,1.963123809855397,-7.376611689537295,-7.3726205303490415,56
1768591500037_CTXSELL,2026.01.16 19:25:00,JAN_JUN,10,5,4578.76,4583.63,-10.63606740689595,1.963123809855397,-12.599191216751347,-12.585804869854767,82
1768597800003_CTXSELL,2026.01.16 21:10:00,JAN_JUN,10,0,4584.5,4583.75,1.6359472134365798,1.6359472134365798,0.0,0.0,0
1768597800003_CTXSELL,2026.01.16 21:10:00,JAN_JUN,10,1,4584.37,4583.75,1.3524213796004485,1.6359472134365798,-0.2835258338361313,-0.2835641836625786,2
1768597800003_CTXSELL,2026.01.16 21:10:00,JAN_JUN,10,3,4582.99,4583.75,-1.6583060403802283,1.6359472134365798,-3.294253253816808,-3.2937070563861233,754
1768597800003_CTXSELL,2026.01.16 21:10:00,JAN_JUN,10,5,4584.06,4583.75,0.6762564189831725,1.6359472134365798,-0.9596907944534073,-0.9597556985485872,38
1768603200061_CTXSELL,2026.01.16 22:40:00,JAN_JUN,10,0,4585.35,4585.93,-1.2648979903386377,-1.2648979903386377,0.0,0.0,0
1768603200061_CTXSELL,2026.01.16 22:40:00,JAN_JUN,10,1,4585.75,4585.93,-0.39252030747487554,-1.2648979903386377,0.8723776828637622,0.8723434416121695,34
1768603200061_CTXSELL,2026.01.16 22:40:00,JAN_JUN,10,3,4586.53,4585.93,1.3081785140388362,-1.2648979903386377,2.573076504377474,2.573413152756892,6
1768603200061_CTXSELL,2026.01.16 22:40:00,JAN_JUN,10,5,4584.29,4585.93,-3.5774351099086825,-1.2648979903386377,-2.312537119570045,-2.3117101202752246,246
1769031300019_CTXSELL,2026.01.21 21:35:00,JAN_JUN,10,0,4805.83,4766.19,82.48315067324548,82.48315067324548,0.0,0.0,0
1769031300019_CTXSELL,2026.01.21 21:35:00,JAN_JUN,10,1,4787.04,4766.19,43.555098766670774,82.48315067324548,-38.9280519065747,-39.09834513497141,8
1769031300019_CTXSELL,2026.01.21 21:35:00,JAN_JUN,10,3,4777.38,4766.19,23.422880323525675,82.48315067324548,-59.0602703497198,-59.198931298027226,22
1769031300019_CTXSELL,2026.01.21 21:35:00,JAN_JUN,10,5,4773.66,4766.19,15.648370432750248,82.48315067324548,-66.83478024049523,-66.93952969622327,34
1769044800059_CTXSELL,2026.01.22 01:20:00,JAN_JUN,10,0,4803.29,4795.23,16.78016526172769,16.78016526172769,0.0,0.0,0
1769044800059_CTXSELL,2026.01.22 01:20:00,JAN_JUN,10,1,4804.85,4795.23,20.021436673362956,16.78016526172769,3.2412714116352674,3.2477739216253867,435
1769044800059_CTXSELL,2026.01.22 01:20:00,JAN_JUN,10,3,4803.69,4795.23,17.61146118921087,16.78016526172769,0.8312959274831826,0.8327625440055383,158
1769044800059_CTXSELL,2026.01.22 01:20:00,JAN_JUN,10,5,4795.66,4795.23,0.8966440489949059,16.78016526172769,-15.883521212732783,-15.884945526920317,177
1769055300007_CTXSELL,2026.01.22 04:15:00,JAN_JUN,10,0,4793.51,4788.7,10.034400679252572,10.034400679252572,0.0,0.0,0
1769055300007_CTXSELL,2026.01.22 04:15:00,JAN_JUN,10,1,4793.78,4788.7,10.597065363867195,10.034400679252572,0.5626646846146226,0.5632615765890278,26
1769055300007_CTXSELL,2026.01.22 04:15:00,JAN_JUN,10,3,4792.91,4788.7,8.783807749363197,10.034400679252572,-1.2505929298893754,-1.2516923924230132,76
1769055300007_CTXSELL,2026.01.22 04:15:00,JAN_JUN,10,5,4791.36,4788.7,5.551659654043642,10.034400679252572,-4.48274102520893,-4.485231072847549,211
1769174100008_CTXSELL,2026.01.23 13:15:00,JAN_JUN,10,0,4918.5,4919.61,-2.2567856053668245,-2.2567856053668245,0.0,0.0,0
1769174100008_CTXSELL,2026.01.23 13:15:00,JAN_JUN,10,1,4915.59,4919.61,-8.178062043416004,-2.2567856053668245,-5.92127643804918,-5.916437938395556,28
1769174100008_CTXSELL,2026.01.23 13:15:00,JAN_JUN,10,3,4912.58,4919.61,-14.310199528556778,-2.2567856053668245,-12.053413923189954,-12.036189895293429,219
1769174100008_CTXSELL,2026.01.23 13:15:00,JAN_JUN,10,5,4917.11,4919.61,-5.084287315109893,-2.2567856053668245,-2.827501709743068,-2.8260648571725677,54
1769469300010_CTXSELL,2026.01.26 23:15:00,JAN_JUN,10,0,5034.23,5020.61,27.054782955883805,27.054782955883805,0.0,0.0,0
1769469300010_CTXSELL,2026.01.26 23:15:00,JAN_JUN,10,1,5032.75,5020.61,24.12200089414401,27.054782955883805,-2.932782061739797,-2.939873625161273,7
1769469300010_CTXSELL,2026.01.26 23:15:00,JAN_JUN,10,3,5028.58,5020.61,15.849404802151412,27.054782955883805,-11.205378153732394,-11.223166204165555,63
1769469300010_CTXSELL,2026.01.26 23:15:00,JAN_JUN,10,5,5031.59,5020.61,21.82212779658214,27.054782955883805,-5.232655159301665,-5.244098898936715,16
1769482200011_CTXSELL,2026.01.27 02:50:00,JAN_JUN,10,0,5023.55,5032.95,-18.71186710593034,-18.71186710593034,0.0,0.0,0
1769482200011_CTXSELL,2026.01.27 02:50:00,JAN_JUN,10,1,5019.56,5032.95,-26.675644877239076,-18.71186710593034,-7.9637777713087345,-7.94259039921924,1
1769482200011_CTXSELL,2026.01.27 02:50:00,JAN_JUN,10,3,5018.4,5032.95,-28.993304638929104,-18.71186710593034,-10.281437532998762,-10.251714425059063,15
1769482200011_CTXSELL,2026.01.27 02:50:00,JAN_JUN,10,5,5023.17,5032.95,-19.469777053135264,-18.71186710593034,-0.7579099472049222,-0.7564371808782815,2
1769721300024_CTXSELL,2026.01.29 21:15:00,JAN_JUN,10,0,5306.71,5314.49,-14.66068430345684,-14.66068430345684,0.0,0.0,0
1769721300024_CTXSELL,2026.01.29 21:15:00,JAN_JUN,10,1,5314.43,5314.49,-0.11290016050543647,-14.66068430345684,14.547784142951404,14.547619900089236,24
1769721300024_CTXSELL,2026.01.29 21:15:00,JAN_JUN,10,3,5324.96,5314.49,19.662119527658902,-14.66068430345684,34.32280383111574,34.39042269127199,35
1769721300024_CTXSELL,2026.01.29 21:15:00,JAN_JUN,10,5,5319.49,5314.49,9.399397310644442,-14.66068430345684,24.060081614101282,24.082717917503963,88
1769742000015_CTXSELL,2026.01.30 03:00:00,JAN_JUN,10,0,5407.18,5366.79,74.69697698245726,74.69697698245726,0.0,0.0,0
